id,continent_id,country_state_id,city,slug
1,1,1,Auburn,auburn
2,1,1,Birmingham,birmingham
3,1,1,Dothan,dothan
4,1,1,Gadsden,gadsden
5,1,1,Huntsville,huntsville
6,1,1,Mobile,mobile
7,1,1,Montgomery,montgomery
8,1,1,Muscle Shoals,muscle-shoals
9,1,1,Tuscaloosa,tuscaloosa
10,1,2,Anchorage,anchorage
11,1,2,Fairbanks,fairbanks
12,1,2,Juneau,juneau
13,1,2,Kenai Peninsula,kenai-peninsula
14,1,3,Flagstaff/Sedona,flagstaff-sedona
15,1,3,Mohave County,mohave-county
16,1,3,Phoenix,phoenix
17,1,3,Prescott,prescott
18,1,3,Show Low,show-low
19,1,3,Sierra Vista,sierra-vista
20,1,3,Tucson,tucson
21,1,3,Yuma,yuma
22,1,4,Fayetteville,fayetteville
23,1,4,Fort Smith,fort-smith
24,1,4,Jonesboro,jonesboro
25,1,4,Little Rock,little-rock
26,1,5,Bakersfield,bakersfield
27,1,5,Chico,chico
28,1,5,Fresno,fresno
29,1,5,Humboldt County,humboldt-county
30,1,5,Imperial County,imperial-county
31,1,5,Inland Empire,inland-empire
32,1,5,Long Beach,long-beach
33,1,5,Los Angeles,los-angeles
34,1,5,Mendocino,mendocino
35,1,5,Merced,merced
36,1,5,Modesto,modesto
37,1,5,Monterey,monterey
38,1,5,North Bay,north-bay
39,1,5,Oakland/East Bay,oakland-east-bay
40,1,5,Orange County,orange-county
41,1,5,Palm Springs,palm-springs
42,1,5,Palmdale/Lancaster,palmdale-lancaster
43,1,5,Palo Alto,palo-alto
44,1,5,Redding,redding
45,1,5,Sacramento,sacramento
46,1,5,San Diego,san-diego
47,1,5,San Fernando Valley,san-fernando-valley
48,1,5,San Francisco,san-francisco
49,1,5,San Gabriel Valley,san-gabriel-valley
50,1,5,San Jose,san-jose
51,1,5,San Luis Obispo,san-luis-obispo
52,1,5,San Mateo,san-mateo
53,1,5,Santa Barbara,santa-barbara
54,1,5,Cruz,cruz
55,1,5,Santa Maria,santa-maria
56,1,5,Siskiyou,siskiyou
57,1,5,Stockton,stockton
58,1,5,Susanville,susanville
59,1,5,Ventura,ventura
60,1,5,Visalia,visalia
61,1,6,Boulder,boulder
62,1,6,Colorado Springs,colorado-springs
63,1,6,Denver,denver
64,1,6,Fort Collins,fort-collins
65,1,6,Pueblo,pueblo
66,1,6,Rockies,rockies
67,1,6,Western Slope,western-slope
68,1,7,Bridgeport,bridgeport
69,1,7,Eastern Connecticut,eastern-connecticut
70,1,7,Hartford,hartford
71,1,7,New Haven,new haven
72,1,7,Northwest Connecticut,northwest-connecticut
73,1,8,Delaware,delaware
74,1,9,Northern Virginia,northern-virginia
75,1,9,Annandale,annandale
76,1,9,Southern Maryland,southern-maryland
77,1,9,Washington D.C.,washington-d-c.
78,1,10,Daytona,daytona
79,1,10,Fort Lauderdale,fort-lauderdale
80,1,10,Fort Myers,fort-myers
81,1,10,Gainesville,gainesville
82,1,10,Jacksonville,jacksonville
83,1,10,Keys,keys
84,1,10,Lakeland,lakeland
85,1,10,Miami,miami
86,1,10,Ocala,ocala
87,1,10,Okaloosa,okaloosa
88,1,10,Orlando,orlando
89,1,10,Palm Bay,palm-bay
90,1,10,Panama City,panama-city
91,1,10,Pensacola,pensacola
92,1,10,Sarasota/Bradenton,sarasota-bradenton
93,1,10,Space Coast,space-coast
94,1,10,St. Augustine,st-augustine
95,1,10,Tallahassee,tallahassee
96,1,10,Tampa,tampa
97,1,10,Treasure Coast,treasure-coast
98,1,10,West Palm Beach,west-palm-beach
99,1,11,Albany,albany
100,1,11,Athens,athens
101,1,11,Atlanta,atlanta
102,1,11,Augusta,augusta
103,1,11,Brunswick,brunswick
104,1,11,Columbus,columbus
105,1,11,Macon,macon
106,1,11,Northwest Georgia,northwest-georgia
107,1,11,Savannah,savannah
108,1,11,Statesboro,statesboro
109,1,11,Valdosta,valdosta
110,1,12,Big Island,big-island
111,1,12,Honolulu,honolulu
112,1,12,Kauai,kauai
113,1,12,Maui,maui
114,1,13,Boise,boise
115,1,13,East Idaho,east-idaho
116,1,13,Lewiston,lewiston
117,1,13,Twin Falls,twin-falls
118,1,14,Bloomington,bloomington
119,1,14,Carbondale,carbondale
120,1,14,Chambana,chambana
121,1,14,Chicago,chicago
122,1,14,Decatur,decatur
123,1,14,La Salle County,la-salle-county
124,1,14,Mattoon,mattoon
125,1,14,Peoria,peoria
126,1,14,Rockford,rockford
127,1,14,Springfield,springfield
128,1,14,Western Illinois,western-illinois
129,1,15,Bloomington,bloomington
130,1,15,Evansville,evansville
131,1,15,Ft Wayne,ft-wayne
132,1,15,Indianapolis,indianapolis
133,1,15,Kokomo,kokomo
134,1,15,Lafayette,lafayette
135,1,15,Muncie,muncie
136,1,15,Richmond,richmond
137,1,15,South Bend,south-bend
138,1,15,Terre Haute,terre-haute
139,1,16,Ames,ames
140,1,16,Cedar Rapids,cedar-rapids
141,1,16,Desmoines,desmoines
142,1,16,Dubuque,dubuque
143,1,16,Fort Dodge,fort-dodge
144,1,16,Iowa City,iowa-city
145,1,16,Mason City,mason-city
146,1,16,Quad Cities,quad-cities
147,1,16,Sioux City,sioux-city
148,1,16,Southeast Iowa,southeast-iowa
149,1,16,Waterloo,waterloo
150,1,17,Lawrence,lawrence
151,1,17,Manhattan,manhattan
152,1,17,Salina,salina
153,1,17,Topeka,topeka
154,1,17,Wichita,wichita
155,1,18,Bowling Green,bowling-green
156,1,18,Eastern Kentucky,eastern-kentucky
157,1,18,Lexington,lexington
158,1,18,Louisville,louisville
159,1,18,Owensboro,owensboro
160,1,18,Western Kentucky,western-kentucky
161,1,19,Alexandria,alexandria
162,1,19,Baton Rouge,baton-rouge
163,1,19,Houma,houma
164,1,19,Lafayette,lafayette
165,1,19,Lake Charles,lake-charles
166,1,19,Monroe,monroe
167,1,19,New Orleans,new-orleans
168,1,19,Shreveport,shreveport
169,1,20,Maine,maine
170,1,21,Annapolis,annapolis
171,1,21,Baltimore,baltimore
172,1,21,Cumberland Valley,cumberland-valley
173,1,21,Eastern Shore,eastern-shore
174,1,21,Frederick,frederick
175,1,21,Western Maryland,western-maryland
176,1,22,Boston,boston
177,1,22,Brockton,brockton
178,1,22,Cape Cod,cape-cod
179,1,22,Lowell,lowell
180,1,22,South Coast,south-coast
181,1,22,Springfield,springfield
182,1,22,Worcester,worcester
183,1,23,Ann Arbor,ann-arbor
184,1,23,Battle Creek,battle-creek
185,1,23,Central Michigan,central-michigan
186,1,23,Detroit,detroit
187,1,23,Flint,flint
188,1,23,Grand Rapids,grand-rapids
189,1,23,Holland,holland
190,1,23,Jackson,jackson
191,1,23,Kalamazoo,kalamazoo
192,1,23,Lansing,lansing
193,1,23,Monroe,monroe
194,1,23,Muskegon,muskegon
195,1,23,Northern Michigan,northern-michigan
196,1,23,Port Huron,port-huron
197,1,23,Saginaw,saginaw
198,1,23,Southwest Michigan,southwest-michigan
199,1,23,Upper Peninsula,upper-peninsula
200,1,24,Bemidji,bemidji
201,1,24,Brainerd,brainerd
202,1,24,Duluth,duluth
203,1,24,Mankato,mankato
204,1,24,Minneapolis / St. Paul,minneapolis-st-paul
205,1,24,Rochester,rochester
206,1,24,St. Cloud,st-cloud
207,1,25,Biloxi,biloxi
208,1,25,Hattiesburg,hattiesburg
209,1,25,Jackson,jackson
210,1,25,Meridian,meridian
211,1,25,North Mississippi,north-mississippi
212,1,25,Southwest Mississippi,southwest-mississippi
213,1,26,Columbia/Jeff City,columbia-jeff city
214,1,26,Joplin,joplin
215,1,26,Kansas City,kansas city
216,1,26,Kirksville,kirksville
217,1,26,Lake Of The Ozarks,lake-of-the-ozarks
218,1,26,Southeast Missouri,southeast missouri
219,1,26,Springfield,springfield
220,1,26,St Joseph,st-joseph
221,1,26,St. Louis,st-louis
222,1,27,Billings,billings
223,1,27,Bozeman,bozeman
224,1,27,Butte,butte
225,1,27,Great Falls,great-falls
226,1,27,Helena,helena
